ID,Text,Labels
1,她们 都 睡 蹑手蹑脚 摸黑 上 床 凑 上 去 想 亲 嫣 一下 她 突然 一个 转身 小手 啪 地 搭 我的 脸颊 上 我便 被 施 魔法 似地 定 住 每次 抱 着 嫣 时候 总想 让 她 小手 搂 着 我的 脖子 可 她 总是 不肯 她 只 小手 指挥 着 我的 方向 指 着 她 感 兴趣 东西 一刻 也 不肯 停 闲,"['Love', 'Joy']"
2,现在 好 终于 如愿以偿,['Joy']
3,感受 着 小手 温度 享受 着 这份 她 对 我的 依恋 生怕 动 一下 会 让 她 小手 离 而 去,"['Love', 'Joy', 'Anxiety']"
4,望 一眼 背 身 而 卧 妻 如果 她 知道 我的 想法 一定 又 会 那 句 ： 切 又 自作 多 情,"['Love', 'Anxiety']"
5,眼睛 逐渐 适应 周围 黑暗 借 着 床头 热 奶 器 上 桔红色 指示灯 微弱 光线 慢慢 能 看见 她们 轮廓 能 听见 她们 呼吸 天 疲惫 瞬间 不再 难得 一刻 清静,"['Love', 'Joy']"
6,这 年 大半 时间 在为 基金会 忙碌 着 以致于 友人 问 怎么 真是 改行 做 慈善 我也 只 能 笑笑,['Sorrow']
7,其实 无论 从 我的 财富 积累 还是 从 我的 人生 阶段 来讲 都 还 没 那 步 一切 只是 因为 这 偶然性 事件 罢了,['Sorrow']
8,既然 做 就 尽力 去 做好 吧,['Expect']
9,接受 和 面对 生活 给予 一切 无论 成功 或是 失败 无论 鲜花 或是 鸡蛋,"['Expect', 'Love']"
10,我希望 嫣 儿 长大 可以 成为 这样 人,['Expect']
11,感受 他们 对 这个 社会 宽容 和 感恩,"['Love', 'Joy']"
12,他 她 们 承受 却 不 抱怨 但 又决 不 麻木,['Love']
13,因为 他 她 们 得到 一点点 帮助 时候 他 她 们 眼睛 湿润 尽管 说 不 出 什么 言辞,"['Love', 'Joy']"
14,他 她 们 着 人 身上 最 原始 韧性 和 最 纯朴 情感,['Love']
15,我希望 嫣 儿 长大 可以 成为 这样 人,['Expect']
16,美国 医生 说 ： Ｉｔ ’ ｓ　ｍｅ ． 翻译 笑着 解释 这 他 自信 一个 外科 医生 必须 有的 自信 否则 他 怎么 下刀 呢,"['Love', 'Joy']"
17,一个 外科 医生 自信 说 得 好 我希望 嫣 儿 长大 可以 成为 这样 人,"['Expect', 'Love']"
18,热 奶 器 指示灯 给 嫣 儿 笼 上 层 桔红 光芒 她 睡 得 如此 香甜 她 是否 知道 这 自作 多情 老爸 对 她 如此 多 希望 呢,"['Love', 'Expect', 'Joy']"
19,最近 读 王 朔 老师 致 女儿 书 便 也 学 着 写篇 致 女儿 博客 吧 以后 再多 写些 汇 成册 等 她 长大 送给 她 读,"['Love', 'Expect']"
20,这 一个 温馨 祥和 欢聚 宴 这将 又 一个 兴奋 激动 不眠之夜,"['Joy', 'Love']"
21,来自 海外 各 团体 代表 欧 美 同学会 中国 留学 人员 联谊会 旗帜 下 出席 第三 届 海外 留学 人员 团体 负责人 代表 座谈会 相聚 北京 交流 经验 互 述 衷 畅 切磋 学艺 深化 情谊,"['Joy', 'Love']"
22,此 代表 全 日本 中国 人 博士 协会 也 代表 全体 留日 学人 向 主持 筹备 该 座谈会 付出 辛劳 各位 学长 和 朋友 表示 最 衷心 感谢,"['Love', 'Joy']"
23,同时 也 对 来自 远方 赴 会 各位 同 士 各位 学长 各位 朋友 致以 最 良好 问候,"['Love', 'Joy']"
