ID,Text,Labels,pred,Love
1,她们 都 睡 蹑手蹑脚 摸黑 上 床 凑 上 去 想 亲 嫣 一下 她 突然 一个 转身 小手 啪 地 搭 我的 脸颊 上 我便 被 施 魔法 似地 定 住 每次 抱 着 嫣 时候 总想 让 她 小手 搂 着 我的 脖子 可 她 总是 不肯 她 只 小手 指挥 着 我的 方向 指 着 她 感 兴趣 东西 一刻 也 不肯 停 闲,"Love,Joy","Love,Expect",Love
2,现在 好 终于 如愿以偿,Joy,Joy,Love
3,感受 着 小手 温度 享受 着 这份 她 对 我的 依恋 生怕 动 一下 会 让 她 小手 离 而 去,"Love,Joy,Anxiety",Love,Love
4,望 一眼 背 身 而 卧 妻 如果 她 知道 我的 想法 一定 又 会 那 句 ： 切 又 自作 多 情,"Love,Anxiety","Love,Expect",unLove
5,眼睛 逐渐 适应 周围 黑暗 借 着 床头 热 奶 器 上 桔红色 指示灯 微弱 光线 慢慢 能 看见 她们 轮廓 能 听见 她们 呼吸 天 疲惫 瞬间 不再 难得 一刻 清静,"Love,Joy",Joy,Love
6,这 年 大半 时间 在为 基金会 忙碌 着 以致于 友人 问 怎么 真是 改行 做 慈善 我也 只 能 笑笑,Sorrow,"Anxiety,Sorrow",unLove
7,其实 无论 从 我的 财富 积累 还是 从 我的 人生 阶段 来讲 都 还 没 那 步 一切 只是 因为 这 偶然性 事件 罢了,Sorrow,,unLove
8,既然 做 就 尽力 去 做好 吧,Expect,Expect,Love
9,接受 和 面对 生活 给予 一切 无论 成功 或是 失败 无论 鲜花 或是 鸡蛋,"Expect,Love","Love,Joy,Expect",Love
10,我希望 嫣 儿 长大 可以 成为 这样 人,Expect,Expect,Love
11,感受 他们 对 这个 社会 宽容 和 感恩,"Love,Joy","Love,Joy",Love
12,他 她 们 承受 却 不 抱怨 但 又决 不 麻木,Love,Love,unLove
13,因为 他 她 们 得到 一点点 帮助 时候 他 她 们 眼睛 湿润 尽管 说 不 出 什么 言辞,"Love,Joy","Love,Joy",Love
14,他 她 们 着 人 身上 最 原始 韧性 和 最 纯朴 情感,Love,Love,Love
15,我希望 嫣 儿 长大 可以 成为 这样 人,Expect,"Love,Expect",Love
16,美国 医生 说 ： Ｉｔ ’ ｓ　ｍｅ ． 翻译 笑着 解释 这 他 自信 一个 外科 医生 必须 有的 自信 否则 他 怎么 下刀 呢,"Love,Joy","Love,Joy",Love
17,一个 外科 医生 自信 说 得 好 我希望 嫣 儿 长大 可以 成为 这样 人,"Expect,Love","Love,Expect",Love
18,热 奶 器 指示灯 给 嫣 儿 笼 上 层 桔红 光芒 她 睡 得 如此 香甜 她 是否 知道 这 自作 多情 老爸 对 她 如此 多 希望 呢,"Love,Expect,Joy","Love,Expect",Love
19,最近 读 王 朔 老师 致 女儿 书 便 也 学 着 写篇 致 女儿 博客 吧 以后 再多 写些 汇 成册 等 她 长大 送给 她 读,"Love,Expect","Love,Expect",Love
20,这 一个 温馨 祥和 欢聚 宴 这将 又 一个 兴奋 激动 不眠之夜,"Joy,Love","Love,Joy",Love
21,来自 海外 各 团体 代表 欧 美 同学会 中国 留学 人员 联谊会 旗帜 下 出席 第三 届 海外 留学 人员 团体 负责人 代表 座谈会 相聚 北京 交流 经验 互 述 衷 畅 切磋 学艺 深化 情谊,"Joy,Love","Love,Joy",Love
22,此 代表 全 日本 中国 人 博士 协会 也 代表 全体 留日 学人 向 主持 筹备 该 座谈会 付出 辛劳 各位 学长 和 朋友 表示 最 衷心 感谢,"Love,Joy","Love,Joy",Love
23,同时 也 对 来自 远方 赴 会 各位 同 士 各位 学长 各位 朋友 致以 最 良好 问候,"Love,Joy","Love,Joy",Love
24,站 这个 讲台 上 周 恩来 学长 那 首 气势磅礴 诗篇 大江 歌 罢 掉头 东 就 不由自主 地 回旋 耳,Love,"Love,Joy",Love
25,日 转 星 移 沧海桑田,Joy,Sorrow,unLove
26,此 很 自豪 地 向 各位 学长 汇报 包括 留学 人员 内 ６５万 日 华侨 华人 学 得 很 认真 干 得 很 出色,"Joy,Love",Joy,Love
27,留 日 学人 社团 活跃 开展 活动 多姿 多样,"Love,Joy","Love,Joy",Love
28,于 １９９６年 ７月 成立 全 日本 中国 人 博士 协会 由 日本 取得 博士 学位 并 活跃 于 大学 研究 开发 机构 优秀 留学 人员 所 组成,Love,Love,Love
29,其 宗旨 为 务实 架桥 创新 贡献,"Love,Joy,Expect","Love,Expect",Love
30,架 四 座 桥 ： 留学 人员 与 中国 间 留学 人员 与 日本 间 中国 与 日本 间 留学 人员 与 留学 人员 间 桥梁,Expect,Love,Love
31,因此 会员 既 架 桥工 亦 为 过 桥 人 博 协 为 广大 留学 人员 创造 一个 回国 服务 良好 环境,"Love,Expect","Love,Expect",Love
32,其 成果 包括 会员 成为 兼职 教授 长江 学者 百 人 计划 亦有 创办 高新产业 佼佼者,"Joy,Love","Love,Joy",Love
33,另外 支持 为 国 服务 博 协 又 大 项目,Love,"Love,Joy",Love
34,博 协 很 自豪 地 获得 科技部 教育部 首 届 春晖 竞赛 杯 优秀 海外 协 赞 单位 称号,Joy,Joy,Love
35,提高 会员 学术 地位 社会 地位 博 协 主要 目标 之一,Expect,Expect,Love
36,每年 度 全 日本 中国 人 博士 协会 年会 已经 成为 一个 品牌,"Love,Joy",Love,Love
37,年会 单 年 中国 双 年 日本 召开 它 已经 成 博 协 一个 岁岁 期盼 节目,"Love,Joy,Expect","Love,Expect",Love
38,由于 博 协 性质 成功 地 协助 创办 杂志 编纂 科技 前沿 主办 国际 会议,Joy,"Love,Joy",Love
39,这里 特别 提及 由 江苏省 人民政府 与 全 日本 中国 人 博士 协会 承办 中国 驻 日本 大使馆 日本 新华 侨 华人 会 日 中国 科学技术 者 联盟 日本 江苏 发展 促进会 全 日本 中国 留学 人员 友好 联谊会 协办 百 名 留 日 博士 江苏 行,Love,"Love,Joy",Love
40,在这里 怀着 多年 难得 激动 来 描述 百 名 留 日 博士 江苏 行 情景 ：,"Joy,Love","Love,Joy",Love
41,既 飘逸 着 传统 文化 汉风 吴 韵 绚丽 华彩 又 充满 着 时尚 潮流 先端 前沿 现代 气息 江苏 ８月 １４日 以来 由于 １２３ 名 留 日 博士 江苏 行 江苏 大地 沉浸 激情 而 带有 经验 奇想 而 富有 知识 种 难以 言表 热烈 氛围,"Love,Joy","Love,Joy",Love
42,印有 百 名 博士 江苏 行 标志 雪白 村 衫 灿烂 阳光 辉映 下 构成 近日来 江苏省 内 道 亮丽 风景,"Love,Joy",Love,Love
43,南京 连云港 南通 金碧辉煌 酒店 论坛 随时 传出 博 协会 员 精彩 演讲 ； 通州 扬州 无锡 庄严 肃穆 政府 厅舍 项目 对接 签约 仪式 上 辉映 着 博 协会 员 身影 ； 江阴 张家港 太仓 昆山 多少 博 协 科研 成果 多少 博 协会 员 奇迹 传扬,"Love,Joy","Love,Joy",Love
44,我不 善 长 写 诗赋 词 但 我愿 用 几 奇妙 汉字 来 描述 日 华侨 华人 就 ： 富士山 下 勤学 东瀛 国 里 逞 雄,"Love,Joy","Love,Expect",Love
45,各位 学长 在这里 请 允许 引用 ２００４年 ６月 １３日 我在 全 日本 中国 人 博士 协会 会馆 开馆 典礼 上 致词 一段话 来 概括 博 协 方向 ：,Expect,"Love,Expect",抱歉，我无法对文本进行分类，因为我无法判断该文本的情绪。我只能根据文本内容对其进行情感分析，并根据分析结果对文本进行分类。如果你有其他问题，我很乐意提供帮助。
46,中国 人 对 世界 做出 更 大 贡献 这 中国 人 当然 包括 华侨 华人 及 海外 留学 人员,Expect,"Love,Expect",Love
47,因此在 架桥 · 牵线 同时 今后 更 积极 投身 参与 所在国 科技 · 文化 · 经济 乃至 政治,Expect,Expect,Love
48,这 不仅仅 争取 权利 更 义不容辞 义务 和 责任,Expect,Expect,unLove
49,可以 断言 成批 中国 人 科学家 专家 教授 艺术家 ＣＥＯ 出现 杰出 华人 议员 校长 州长 乃至 总统 产生 就 中国 人 对 世界 贡献,"Joy,Expect",Love,Love
50,当然 强调 多数 留学 人员 回到 祖国 兢兢业业 复兴 伟大 中华 民族 繁荣 九百六十万 平方公里 华夏 富强 十三亿五千万 炎黄 更 中国 人 对 人类 贡献,"Love,Joy,Expect","Love,Joy,Expect",Love
51,各位 学长 经过 ９３ 载 岁月 考验 欧 美 同学会 海外 华侨 华人 社团 娘家 也 旅居 海外 会员 温馨 家园,Love,"Love,Joy",Love
52,她 所 倡导 科学 民主 精神 至今 仍 具有 现实 意义 和 实用 价值,"Love,Joy",Love,Love
